Author;Komentar;Klasifikasi
Ursula Lorenza;wih canggih keren;positif
Isabela Anjani;waahh madiun mayarno tooopp;positif
Karnelia Laksmi;kendala cinta kendala nomor kereeeen buuuuk jadi inspired;positif
Desyana Tan;sambal bu rudy enaksaya sedia rumah;positif
Teman Lapar;majikan kl plangindo sllu bawa sambal bu rudy;positif
Yeremia AM;emang josssssss;positif
Yuni Indriyani;wanita hebat inspirasi;positif
Baruch Kameyer;mantap semangat contoh top ibu muda jadi malu karna semangat kalah ibu;positif
Desyana Tan;sambelny beneran enakk;positif
michael zhang;suroboyo dorong nyobak sambel sampean buk insyaallah mene langsung budal nang toko ne sampean wkwk;positif
Muhamad Shidiq N;sampel enak coba nih nya lg aga susah nyarinya masa surabaya;positif
My. Foodtograph;sambelnya enak;positif
bella gf;ii chinese muka kayak old korean semagat ii doain usah lancar;positif
Guna Dharma;sambel bu rudy mantap guys layan cepat baik beli pakai gojek nih hasil www youtube comwatchvusvclfpmm;positif
Vicky lee;emng maknyos sih sambel ijo nya;positif
Catur Fajar;kunci cinta senang kendala hadap bu ma kasih bu tipsnya;positif
Robby Nurdika A;sukses mami rudy;positif
Meilissa Harsono;tuju bu siap komplain maju usaha kaya garuda;positif
Rivani S Vanderbilt;sambal enakkkkkkkkkk;positif
RAFI RAUF;luar biasaa sukses;positif
Ihsanul Maulana;sebut bang alex pas main pubgm misal grozali pedas kaya sambal bu rudi tuju suka;positif
Multisquad DP;bawa wajib surabaya berat bawa oleholeh sambal;positif
Anisa Ramadhanti;wahh keren ibu harga tamu nya beda yah kayak ngamuk tamu saudi hahahaah;positif
Daniel Aditya;alhamdulillah sambal bu rudi kenal asia suksesselalu;positif
Maria Eunike;mantap;positif
nab nabs;sambel favorit si wajib;positif
Muhammad Lutfifahreza;kueren;positif
Lintang Asvini;doyan istri mah cemen doyan sambel pedas banget;positif
netijen;rindu sambal bu rudi mantapppenakkk;positif
albert yosef;guys gua beli sambal bu rudy gue makan botol rasa asem basi;negatif
Deanda Putri;rata turun tioghoa ajar kerja keras salut luarbiasa;positif
Alexander Jordan;sambel bu rudy emang mantapsetiap anak pulang srby minta sambel rudy;positif
Rahmat Ramadhan;nonton makan nasi jinggosambal bawang bu rudi;positif
Tartila Sahid;bu rudy luar sambelnya;positif
Cak Boy;god bless ibuuu;positif
Dimas Bayu Ajie;bu sambel bawang mu nikmat tiada tara makan pakai nasi enak banget rasa astagaaaaaa;positif
Ahmad Firdaus;mantaaap bu rudy;positif
Felicia Iskandar;sambal legend;positif
angeli.k wardhani;iyaa enak sih sambal nyomot makan pakai glove bu rudy heheh;positif
Gabrielle Sylviera Oey;hebat nasehat beliau bawah beli sukses trsya bu rudy amiin;positif
Nabila Rafa;sambel ibu rudy enak banget tagih gue asli wkwk;positif
Christiansamm;cocok banget sambel bawa eropa;positif
Ronald Tham;sambelnya nampol nikmat wkwk;positif
ade zahwa;sambal bawang bu rudi mantaaapp;positif
Adriana Lima;desain dibagusin lg bukkk mikat beli baru;positif
aying ayingaying;penuh inspirasi buk mantaappppp ilmu super;positif
Kitsugi;sukses bu bakat alam ibu;positif
Raja Bintang;masakan bu rudy emang legend bukti pas lidah sambel ijonya muantulll wkwk;positif
Henny Elvandari;tuju banget makasih bu rudy ilmu jd semangat unt;positif
boskovic234;bu rudi masakane wenak;positif
emang ngapa sih ga boleh ?;logat suroboyone mantap medok tante sukses sll tante;positif
MichaelCalvin X;sambel bawang bu rudy nampol abisss mantap kali nampol lidah;positif
Gnem Tanduran;sambelnya bikin makan tambah lahap;positif
Triono soleh;kesurabayaslalu beli;positif
Syahnor Channel;ky ibu ku kl mask is the besttttt pinte masakkkk;positif
LD THL;sumpahhh sambel bu rudi sambel favorit eikeeeeee;positif
aceng gaming;mantepppp buk;positif
Introvert Journey;rugi gembleng kayak gin orang tua masyaallah;positif
Muhammad Ilhaam;gue akuin emang sambal bawang top markotop pedas stop makan pakai sambal bawang lol;positif
agustinus yuanto;pisang goreng otenya maknyos;positif
nikolas tedy;pedas umum mangan sambel iki;positif
Faris Hutagalung;sambal favorit nih kerabat surabaya minta nitip beli;positif
Novi Andini;pertama kali sby ajak temen makan drmh makan bu rudi pas makan sambal nya langsung tagih langsung beli kalteng mantap;positif
Muh Ramzy;sambal bu rudy emang enak banget tiga nya udang kering nya juara banget lengkap rasa surabaya kota pahlawan bawa sambel ikonik;positif
Florence Amelia;mantap bu rudy bolak balik liwat dharmahusada unair gubeng mampir nang bu rudy hehehehe;positif
Invicta Gaming;cari jogja susah banget enak solo gak;positif
Marlan Kurnia;bakat bu rudy bikin masakan liat resep loh bikin iri bakat niat kembang dipunyain ibu;positif
Zakaria Fernanda;gokil si nich bu rudy saluuuttttt bu;positif
just rain;maju terus sambal bu rudy;positif
Sheila Novia;bu njenengan inspirasi tanggal januari trimakasi bu atas wejang moga sukses serta ibu sllu;positif
Lahar Ananta Firdaus;nama bakat lahir;positif
Waty __;gue bingung enak banget sambal makan pakai nasi hangat nikmat;positif
Juleha Ratna Sari;makan situ brisik denger bu rudy nya brenti omelin karyawannya mulu;negatif
Anggara Bagus Prakosa;sumpah sambel enak bnget;positif
dilan 2000;sambal nya mantab sayang layan rumah makan nya kurang senang kurang ramah baru kali makan diliatin layan nya risiihh poll;negatif
J R;mantap tetap rendah hati terus inovasi tiru bu sifat jos;positif
Yollady77 Desti Rizkita;aduh liat pepes bikin ngiler;positif
Angga Putra;the iconic bu rudi hasil bikin napsu makan tingkat drastis luar sambal buuu;positif
Syee;luar;positif
Dut Makan;hebat perjuangnnya;positif
Haekal Ardian;resto fav ku ki sehat terus nggeh bu rudy enak makan;positif
Jacky Semiawan;enak jadi anak bu rudy bekel sekolah variasi;positif
Andana Inggrid Vergilianti;layan kurang ramah bu mohon ganti baru karyawannya;negatif
Asphyxia;kerennn buu moga nyontoh kerja keras;positif
Tomy Febriantoro;emank sambal bawang bu rudy maknyoss hrs beli online surabaya tau gakharga jual;positif
Z000 0;makan pakai sambal bu rudy nasi habis tambah terus;positif
Agung Dirdaharja;mantap bgd sambelnya bu rudi;positif
Bintang Akbar Maulana;luar bu;positif
PORNESIAN PARRAPIO;sambelnya enak murah;positif
Ryan Clarissa;wkwwkkk net jatim masuk sambal bu rudi kasih sambal bu rudi enak sambalx;positif
rayendra abiyasa;kayak enak doyan pedas;positif
Luqman Dinata;import saudi arab laris bnyak beli bu;positif
rielandrianus;inspirasi;positif
BANG RAPA;beli sambel kemas ketemu rasa enak sambel bu rudy sambel bawang bu rudy benar persis sambel bawang buat ibu;positif
yoga yosua;the bagus sambel merah nya galak nasi bikin nya;positif
Bagas Kuncoro Putro;suka sambelnya;positif
Joe Marthadinata;sambell;positif
Adam HW;idola sambal bu rudy indomie rebus;positif
Lahar Ananta Firdaus;muantepe poll bnyak ajar bu rudy kpan kpan sby foto bareng ngge buk;positif
Wahyu Anggara;ibu jadi motivator niiii;positif
nicholas jonathan;sambel bu rudy hrganya beli;positif
Kaindra Djoemena;punya restoran kaya bu rudy laris makan sukses bu;positif
Nabila Ghasyany;surabaya afdol beli sambel bu rudy hehehehehe;positif
iKON TV;amen ahirnya dptkhan jg alamat sambel bu rudi surabaya;positif
Michael Iskandar;enak nyoba mahal bikin nagih;positif
Muhammad Rafi Fadhlan;tahun warung bu rudi jalan dharmahusada surabaya ingat waktu jaman kuliah makan pacar hehehe mantap bu masakan top banget;positif
zalfa kamilah Suryani;tau beli sambelnya;negatif
sahnathassiry;sambal bawang juaraaaa;positif
Claudia Kirana;sambel favorit soal rasa pedas mantap bikin makan luar negeri jadi kangen negeri suka bawa sambelnya temen luar negeri cook this traditional sambal its easy as thats jadi simpel spicy;positif
Rizki Anugrahpratama;bu rudi salah satu gemar sambal bawang ibu enak rasa ubah tahun br kali liat video ibu nyata madiun nggeh bu hihi sukses bu rudi jadi kangen kampung halaman;positif
Wisnu Wisnu;enak sambelnya;positif
Riski Attalah;sambel bu rudy emang enak banget suka menit belakang nya bu rudy;positif
seto sugiri;jadi kangen sambal bu rudy;positif
reza 95;pribadi sih sambelnya gak pedas makan sambel kayak asa puas gitu mantap;positif
Kevin Hermawan;suka sambal cabai hijau ikan asin beli merah pedas mahal botol ribu;positif
Sonnia Natalia;mindset nya bagus jd pedoman dlm bisnis;positif
Banana Pisang;tempat kerja samping pas warung bu rudy beliau jd nasabah preffered nasabah diutamakanbanyak duit pas bu rudy masuk bank banking hall bau masakan enak banget jadi laper;positif
Balqis Nidaulhaq;bela bain pesan surabaya rasa lg sambal bu rudi rasa ttp nikmatseperti pertama kali akuncobain tahun skr endossss;positif
Fathan Al Azka;suka prinsip dlm alkitab kata panjang umur hormat kaya tuhan tambah dengar dik orang tua taat orang tua hasil lihat ibu rudy prinsip mama siap komplain baik salah mantap sukses terus bu;positif
Ulfah Oktaviani;contoh kerja hati bahagia;positif
Aqilfhamdani;pedahal tukar hari waktu selisih menit keluar restoran kasir ganti;negatif
Arine Geni;suka bu rudy harga beli kadang milik usaha liat tampil terus dicuekin jawab judes beli ngemis minta gitu;positif
Andreani Safta;bu bagus beli harga karna orang beli membwa rejeki nmya manusiaya gtur masalh rejeki ibu rudi bener bwrhasil citaya kpn usaha bersail amiin;positif
anjar adi prastyo;coba ekspor korea bu lariss smbel tras kemas enakkk byak beli aduhhh;positif
Ariq Fikri;alamat nya depot bu rudy dsurabaya mampir makan tempat beli sambal airport;positif
Bima Pratama;payah toko sambal bu rudi jalan raya kupang surabaya makan restoran beli sambal bawang bungkus tukar bungkus sambal bajak kasir kasir males banget pedahal selisih harga tambahin jg sengaja bawa sambal bu rudi kasir payah pakai kacamata gendut;negatif
hunrenes lovechild;gak enak enak nyambel dw;negatif
sofia first;menu makan resto bu rudi nasi bakar enak;negatif
Faiha Salsabila;mahal murah gantung ukur masingmasing lo mahal pasar lo cukup duit jajan situ sih warung tanjak beri harga segitu lo langsung ngebully usaha orang;positif
lian achmad;gue baru abs makan enak nasi goreng gilanyatante sexy enak manis kata gue tante sexy mahal karna emg pakai susu greenfield diabkn susu diamond wkwk;positif
Natalie Dju;bully orang bilang mahal pakai bilang pasar lo gacukup jajan situ mahal kaya cantik relatif lo ditawain nasi goreng harga ribu tempat saji sederhana kes mahal lo ditawarin makan union harga fantastis wajar tempat servis saji mantap bahan jg pakai kualitas orang tengah atas jg ribu receh klo worth spend segitu males gitu loh gausah sok;positif
ardani lvano;soal harga masalah rasa buat kecewa make piring gambar ayam jago make kertas nasi uduk masalah gue penting rasa;positif
Dilla Yahya;roti dajjal nya the bagus sih;positif
bahtiar bhaskara;porsi gede cocok sih harga segitu nasi jg kek mantap cewek porsi kuli seperti;positif
Mr 8Bit;kesana ajak mantan malem nyamuk balik pd bentol njay;negatif
Didi Chang;nasi gila bener bikin ngiler;positif
Puspita Zulviandari;tempat duduk kaya pw banget gituu rendah meja jadi kudu nunduk wkwk;negatif
Daniel Januaris;karbo plus karbo gendut papa ko penting enak;positif
Nasywaa Raudya;masuk mahal sih warung kopi gue temuin yaudalah jual nama makan lumayan worth it;negatif
I am thesaverio;mahal beut mah jual nama doang menu makan gitu;negatif
Laetetia Sekar;hrgnya mahal terus ky gak nyaman duduk;negatif
Xperiaz5 Putih;klo bt gue masalah mhal nya cara saji nya gak tarik sperti tempat nya;negatif
Noe Hermawan;kaya tempat dduknya kurang nyaman bakal susah bngt makan orang biasa makan piring angkat;negatif
Citra Septriana;bikin ngilerr;positif
Cerita Qoe;orang gndut tempat duduk kayak gitu cocok pegal nyangkut perut;negatif
eka noor;mantap;positif
haidar ali ID;da tarik nya yakin harga cafe klo kampung gue cakep segitu sih;negatif
Dhip;abang abang nasi goreng sih dpt nasiayamtelur enak betull;positif
Roasted Duck;abang abang nasi goreng sih dpt nasiayamtelur enak betull;positif
Achmad Aprianta;gue sih mahal emang rasa enak banget worth it;positif
Nadine Alivia;nasi gila mahal sih untk ukur menu gitu emang enak;positif
Jojo jono;jadi ngiler;positif
Wajib Cobain;makan presentation bagus tempat kurang bersih beda konsep bersih tetap jaga harga lumayan mahal;negatif
sober thug;nasi gila nya nya ihh ngilerrrr;positif
Dary Gultom;jadi ngiler;positif
omang bagus;tempat duduk nyaman terus kayak laler;negatif
BUDGET G;liat enak koko pas makan nasi gila nikmat banget;positif
Dimas Aryo Anandito;kalem banget tinjau gua harga mahal saji;negatif
agus margono;mahal kelas mas wkwkw;negatif
Marco Wirajaya;harga masalah sih sesuai pasar baik sesuai pasar saji nya sesuai saji nya looks worth harga nya semangat anu;negatif
Fahreza Emerald Annas;tau harga menu warung kopi tanjak mahal makan segitu;negatif
Pie Pie;gue pribadi bodoh harga mahal penting ngepuasin gue enakkkk arti harga gak ngeboongin;positif
Jhns Adit;kagak worth it banget mahal;negatif
Ibnu Nurfajar;mahal over harga kawasan mall stret food;negatif
Moon Child;mahal kentodddddd;negatif
davina Tara;enak deh kaya makan tempat rumah gitu mantepp;positif
Restu Syahputra;emng bener sih enak banget nasi gila nya;positif
Rysha Nadya Permana;iyaa si mahal gue minum regal rb;negatif
Dinda Lulu;tempat kaya gitu harga segitu aga mahal sih;negatif
Olivia Dita;mahal ituu nasi gila wkwk;negatif
Diannita Indah;tmptnya kayak kurng nyaman koh lalat gmn ko tngan koh felix gibas mulu ps awal makan;negatif
Abdul Malik;nasi gila special mahal banget dah kasih harga rb rb an;negatif
Muh_Faisal Amin;kyknya enak;positif
Hanung Prastawa;yah jujur jiwa pas anak kosan kek gue si mahal bus rebu dpt kopi kini promo pakai regal rebu;negatif
Dyas Adhyguna;harga wajar gantung dompet;positif
Berita Senja;iya allah tempat nya sederhana banget keren poko;positif
Fachri Daffa;worth it harga segitu porsi gila bilang mahal;positif
jodie Von degurechaffv;mahal ngetzz sih;negatif
Denra Maulana;astaga meja pendek;negatif
Hakan Giant Ibrahim;kayak nya enak;negatif
Joshua Dwi;sumpah nasi gila nya enaaaak banget wkwk gua dateng nya pas ada laper emang enak;positif
admin wati;mahal sih kualitas kuantitas;negatif
Motion Info;mahal sih kualitas kuantitas;negatif
Egi Gustiwan;mahal sih kualitas kuantitas;negatif
michellino raiya;worth mahal makan warung kek gitu maap maap nih harga segitu bikin tempat bagus nyaman;negatif
Yusi Omita Apriyani;mahal makan;negatif
Rey;matap lesat wisata kuliner emang top;positif
es cendol;gua harga wort it sih tempat enakdengan harga segitu kumpul temen lumayan banget ceeporsi makan lumayan ko harga segitu;positif
ARIE IGNORE;ngiler roti bakar;positif
indra nuwansyah;roti bakar harga gue dgn porsi isi nasgil harga mahal dikit gue gue tahu rasany enak dgn nasgil;positif
raenata;gak asik nongki situ klo hujan;negatif
M Guntur;netizen bilang mahal bla bla bla ribut adu mulut adu jempol kabar nasi goreng kebon sirih ngemper pinggir jalan tetap ramai mahal arti pasar bilang mahal nyobain bom;negatif
abdi silitonga;nasi gila nasi mawut nya mantab jiwa tante seksi mantab rasa;positif
Bintara Manurung;makan cukup mahal yaa;negatif
Muhammad Fajar Ramadhan;mahal si liat tempat nya gitu harusnyaa sesuai nama;negatif
pladimir lipo;masuk sasar pasar nya mahal banget buat wkwk;negatif
SUKA SUKA SAYA;madafaka mehongg;negatif
twntytu 0five;enak bangt;positif
sally wirawan;gilaaaaa harganyeeeeeeeeeeee warung kopi dah warung kopi rasa upnormal not worth it dah;negatif
Timfun - Fatwa Dhiauddin;ngilerrrr nasi gilaaa;positif
HaiyaÃ¬;sok sok ngomong relatif jelas jelas mahal pakai keluar kata kata mutiara;negatif
Althaf Aprima Ksatria;tarik makan situ;negatif
Wira Si Palkon;warung kopi tanjak worth it enak unik;positif
Dimas 310;mahal minum kali yaaa;negatif
Liza;mahal harga;negatif
neny yuniartha;nasi gila nya bikin ngilerrr;positif
Aib;laler kaya bang makan tenag laler;negatif
Dimas Noverli F;mahal sih;negatif
stevanie angella;maaf tarik;negatif
Felita Marlian;sih mahal;negatif
ARI HIDRIJANTORO;mahal harga nya;negatif
Randhika Ikra;mahal banget;negatif
D GarV;dateng nasi gila be suka eee anjing kayak masakan anak kos ngirit pas dirasain hmm pesan gajadi krna mahal wkwkwk;negatif
Ronald Christianda;nasi maut nya liat tarik bt makan tampil nya hrga sgtu;negatif
Fadhil Hafidz;roti bakar kayany enak bangettt;positif
Ferdy surya.putra;kelas warung kopi harga mahal sih;negatif
Maria Anes;mantaaaaap;positif
Ferdinan A.S;piring nya kurang cantik;negatif
Farhan Nur Ramadhan;inovatif klo turut mulai menu konsep tempat kereeeennn;positif
Zexavor Gaming;harga segitu yaaa standaaarrrttt cuyyyyy;positif
Inside ur dream;jujur gua habis makan resto lucinta luna tditempatnya asli nyaman banget makananya enak harga lumayan murah lihat orang save koment mkananan;positif
Viola Dena Halifah;mahal yaa;negatif
Poser;harga murah sih mahal lo gak awowkwok;positif
rahayu indah;mahal cong;negatif
jeprete ye;minum rada mahal;negatif
Evandias Adtm;harga nya bb ajh kali enak kaya tuhh;positif
faj dwntr;mahal amatsi nasi gila pontianak rebu segitu anjirrrr;negatif
Billy Christianto;overprice sih kata gue nasi goreng maksimal terus bahan baku cmn gitu wow banget;negatif
Awan Setiawan;harga mahal makan minum;negatif
Ryan Apriliansyah;murahhhhh ko;positif
nabhan samdya;emang gatau mawutiy bang serius kaag tau parah sih mawut padu mie goreng nasi goreng punya nya anu cenderung arah kering nya jawa mah enak;positif
verse steven;murah murah banget woi harga makan;positif
SHUKUFUKU MOZOK;harga mahal banget ckckck;negatif
Gita Yunika Maharani;nongkrong takut tangan ku pegal ngipasin lalat terima kasih yh info nya;negatif
Jhenti;nuuu ukur warung nongkrong rumah mahal nu inimah solaria;negatif
Naw;basa basi mahal cuk;negatif
andy khoe;mie nasi goreng mahal;negatif
abisha randianta;mahal;negatif
Setyawan Akbar Ilham;mahal sesuai jenis makan hrsnya mahal sesuai jenis makan;negatif
DvRex Dv;gila ngiler;positif
ghatafa nizalathalah;inti overprice;negatif
Day Larissa;mahall;negatif
praztDR;mahal sih tempat rasa;negatif
30. Robertus Tapauwjaya Sakti Suwignjo;situasi lokasi harga sebut gwa mahal ntah target marketnya arah kmna kalok emang harga sgtu tempat pada saji tarik masak harga nasi goreng piring gak tarik banget sangag;negatif
Dinatha Mudha;mahal;negatif
Johannes Karl;mahal;negatif
katarina pascha sonya;mahal cuk;negatif
cindy sartika;masalah tempat outdoor nyamuk hujan harga kayak harga mall;negatif
Nowand Me;enak kliatanya;positif
Belle Cesta;jujur kesana gara punya nya anu lokasi nya jalan raya lumayan masuk kedalemmmm posisi duduk nya pegal gayes orang gendut nyamuk wkwkwk muwahaaaallllll gue hahahaha penting rasa nasi goreng selebgram harga rb hahahaha besok mekdi;negatif
jonbudi;mahal cuy naik haji;negatif
Bayu Wicaksono;mahal banget seh gue makan mahal kelas warung kopi gitu perlu sewa toko mahal banget huehue;negatif
Andhika Eka;nasi mawut mahal gak isi basoannya;negatif
Sheilan Alghira;tau sosis murah bakso murah harga mahal bilang murah emang fansnya si anu terima wkwkw;negatif
Claudio Abednego;gak tarik banget rasa lihat kenyang;negatif
Almaira Najwa;lalat ko;negatif
Stanislas Kostka;salah sih bilang segitu mahal emang rasa kelas atas penyajiaannya kelas nih resto artis bensunda milik ruben onsu kelas artis harga ribu ambil puas menu lha nasi gila spesial harga ribu dapetnya bebas sih suka orang beri harga lihat dg waras harga segitu oke lihat warung kopi harga segitu tahan;positif
Naufal Alwan;kesel harga tempat platingnya servicenya gitu;negatif
S. Lesti;aduh biking ngiler koh;positif
Bulan Sendu;tarik banget serius;negatif
Dimas Andhika;karna gue makan sana nikmat rasa harga segitu worth it banget gue makan sana gue kasih tau gue suka dapur bersih banget masak asalasalan penting beli gue sih rasa harga view harga;positif
aditya mifta mahmud;harga tempat saji gak worth it banget nasi bentuk kek gitu doang ribu mawut rb gile beneerr manfaat banget njir gue ajak traktir ogah banget;negatif
iseal duasatu;nasi gila tante sexy nya beneran enak deket rumah;positif
Chris Lie;we liat harga roti bakar kornet daging sapi mahal coi wajar nasi gila koko bilang sosis murah cabai nasi maut nya pedas cabai mahal ayola mau murah enak cakep banget;negatif
fbamsjdb bs;mahal mahal coba pinggir gerobak gerobak rb;negatif
Albert Wanandi;harga segitu lumayan murah karna minum milih bebas tempat bagus jadi worth it;positif
Dede Junaedi;kak lupa nyobain restonya mas beck kak ikan bumbu mercon enak bnget sop buntut dendeng baladonya;positif
ArMystq;ukur resto bisnisman publik figure ternamaharganya ckup terjangkauapalagi kn menu beragamada westernindo japanesse;positif
mbretez aww;kaya mahasiswa jela masuk resto bagus gin mah jangkau yah nasi goreng incess makan peyek ebi asin jadi kaya passss mantap penasaran pastanyaa sihhh;positif
Geflunk;wahh dg konsep resto ituuu cukup murah sihh harganyaa;positif
adhtyaaf;lewat jalan cipete kali cafe fudday makan enak terjankau harga;positif
do you;gimana harga segitu sih sebenernya wajar tempat lumayan refill minum jg tempat harga nasi goreng ribu masuk minum;positif
Yohanes Ryan;harga murah riah tmptnya super nyaman good job mr reino;positif
Gilang Adyarezky;murah bnget harga masuk kantong anak kuliah kek gua;positif
zea mays;kak coba in nasi goreng gila pasta lewis and carroll senayan city sumpah enak banget coba disna plated dessert;positif
Bella Dahlan;restoran artis makan nya enak harga trjangkau hebat pak reno incess;positif
Dimas Andhika;cobain makan hello sunday nya xxi ka enak banget loh maknannya;positif
Sebastian;wew ku fikir bakal mahal dg image syahrini reino super mewahteryatah salut;positif
Dut Makan;mantul;positif
Annisa Chelintia;beefnya tampil tarik resto mahal;negatif
dhinda dyah;enak ambil minum;positif
Delamanah;inti meh restoran nya enak menu makan nya hahaha;negatif
Amelia Ell;keren minum ambil;positif
Nizar Andev;mantap;positif
Al Muammar;lihat nasi goreng pedas enak enjoy guys;positif
yaya kim;enakkkk;positif
Agga Ratano;jadi enak chicken wings nya nasi goreng nya tolong chicken wings;positif
yulia tan;murah mewah warung bu anny virall;positif
Echa Kiut;lihat enakkjd;positif
Fachri Dani;chicken wings nya kurang bersih ayam merah gitu geli kaya gitu;negatif
Angela Ginna;makan makan enak;positif
janottama _;harga nyaa mhal;positif
iSANZ;mantap;positif
Rivaldo Sam;resto hambar garam katagorikan sesuai selera jd sedia garam meja;positif
Rivaldo Sam;mantap;positif
FÃ©bi Purnama;makan segitu masuk murah free minum beuh mantap;positif
Bagas Zaki Muhammad;wow masuk murah;positif
shandy stefanus;si murh untk ukrn resto artis mewah gitu;positif
Bian Aldi;platingnya kurang tarik kaya cafe kampus harga murah;negatif
beegayl;kak syahrini pintar nasi goreng nya buat kurang asin kasih peyek ebi jadi passs;positif
faiichol;kare nya murah mahal sushi tei;positif
Muhammad Ali Marasabessy;asik minum gratis free refill;positif
wyat rian;kirain bakal mahal makan an resto nya tr nyata lumayan jangkau;positif
the;murah mah mahal rujak cingur pinggir jalan sonoo;positif
Yolla Amanda;harga murah standar resto;positif
XNMGX XNMGX;harga jangkau sih;positif
trio bunny;kari jepang enak krna dh pernh coba;positif
allysa julia;harga menu resto dg owner kelas suami incess jangkau ngilerr jg liat wajib dicona tuh;positif
irwanda laory;mantap;positif
pao paoo;harga jangkau;positif
noval nezar;makan situ enak nasi goreng gimna selera kali;positif
Gde Brian;enak murah;positif
Jagad Bimantoro;spageti kurang asin emang kuat rasa pedas asin pilih tingkat asin emang gitu baru;positif
10 01;kesana nasi goreng inces hambar sih emang selera karna yutuber liat bagai segmen makan coba emg gak sesuai jadi selera rasa kurang asin gimana;positif
